Record_No,TransactionID,AccountID,TransactionDate,Amount,TransactionType,First Name,Last Name,VendorID,FeeID,FeePayable,FeeState,Card,MCC GroupName,Channel,CardState,CardToken,Server_Location,User_Location,StateID,Currency
1,TR00000000001,760-1866-G2401,2024-02-07,1872.53,DEPOSIT,Shannon,Allen,RETAIL_74914,NORMAL,22.95,DISPUTE,Virtual,BANK,API,SUSPENDED,XLXBOSPWDHOH9F1,GPS001,GPS001,KS,USDCASH
2,TR00000000002,782-7116-Q1889,2024-04-28,6108.37,REBATE,Andrea,Ayala,RETAIL_75392,NORMAL,31.81,COLLECTIONS 1,Physical,ECOMMERCE,SYSTEM,SUSPENDED,HFDH3LFJT7HO3AG,GPS003,GPS005,NE,CRYPTO
3,TR00000000003,558-2810-K1030,2024-04-04,5932.84,TRANSFER,James,Larson,ECOMMERCE_42688,SPECIAL,8.31,PAID,Physical,DELIVERY,FRAUD,SUSPENDED,LT5DPKSKWZLHXMT,GPS004,GPS004,OH,VENDORBUCKS
4,TR00000000004,900-6704-K6834,2024-03-09,2294.56,DEPOSIT,Benjamin,Parker,RETAIL_44221,PREMIUM,18.87,PAID,Physical,ECOMMERCE,IVR,SUSPENDED,HST69AZUPZTBCET,GPS004,GPS003,MN,CRYPTO
5,TR00000000005,556-5707-E8451,2024-02-09,911.11,DEPOSIT,Lori,Miller,BROKERAGE_91853,SPECIAL,26.46,HOLD,Physical,BROKERAGE,SYSTEM,SUSPENDED,YELB0CKXROFSLJA,GPS002,GPS001,MO,VENDORBUCKS
6,TR00000000006,326-5544-O9412,2024-04-13,205.86,DEPOSIT,Tammy,Gray,ECOMMERCE_27854,PREMIUM,22.58,COLLECTIONS 1,Physical,BANK,ADMIN,ACTIVE,CAW13IZT9OQHL7N,GPS003,GPS002,OR,CRYPTO
7,TR00000000007,903-2660-R2347,2024-01-08,2960.16,TRANSFER,Deanna,Perez,BROKERAGE_44086,SPECIAL,47.03,LEGAL,Virtual,ECOMMERCE,SYSTEM,SUSPENDED,MHOA7HDWYRLA1SS,GPS005,GPS003,AL,VENDORBUCKS
8,TR00000000008,598-1671-M9615,2024-03-10,1125.56,REFUND,Marie,Krueger,BANK_57397,DISCOUNT,17.1,OVERDUE 15,Virtual,RETAIL,API,TERMINATED,IVYRUVQ5LUPXVPJ,GPS001,GPS001,CA,VENDORBUCKS
9,TR00000000009,908-9736-M1381,2024-03-16,6276.01,TRANSFER,Heather,Lara,ECOMMERCE_19586,DISCOUNT,33.99,DISPUTE,Virtual,ECOMMERCE,ADMIN,SUSPENDED,VEWET194VNY0T09,GPS001,GPS004,VA,USDCASH
10,TR00000000010,305-8526-F2894,2024-03-16,4779.98,REBATE,Justin,Walker,DELIVERY_59106,NORMAL,5.88,DISPUTE,Virtual,BROKERAGE,API,SUSPENDED,WADG72SLT0CPREF,GPS002,GPS004,DE,CRYPTO
11,TR00000000011,546-4450-Q8901,2024-04-22,5120.65,DEPOSIT,Pamela,Ryan,BANK_26940,PREMIUM,7.29,OVERDUE 15,Physical,ECOMMERCE,FRAUD,SUSPENDED,WESGDUJWPWQZZJI,GPS005,GPS004,FL,USDCASH
12,TR00000000012,794-8955-P4694,2024-02-01,3867.62,TRANSFER,Robert,Hamilton,BROKERAGE_80502,SPECIAL,38.77,HOLD,Physical,BANK,API,SUSPENDED,YRPUF4VANWS1G1I,GPS002,GPS001,CA,VENDORBUCKS
13,TR00000000013,261-2138-J2810,2024-01-14,398.99,TRANSFER,Amy,Davidson,BROKERAGE_50761,DISCOUNT,10.93,DISPUTE,Physical,BROKERAGE,IVR,TERMINATED,MQJS0W6ORRSQ5A9,GPS004,GPS002,OR,VENDORBUCKS
14,TR00000000014,611-4850-F9722,2024-03-23,5700.56,REFUND,Alexandra,Lloyd,BROKERAGE_93672,NORMAL,36.6,HOLD,Virtual,RETAIL,FRAUD,TERMINATED,4GYAZLLIIRD2N0Z,GPS005,GPS001,MA,CRYPTO
15,TR00000000015,804-4424-L8989,2024-01-07,1411.23,REFUND,Lori,Mills,DELIVERY_78058,NORMAL,19.22,OVERDUE 15,Virtual,BANK,IVR,ACTIVE,W0G5LUOL0I8FYMU,GPS002,GPS004,TN,VENDORBUCKS
16,TR00000000016,930-7765-V6424,2024-01-10,494.52,REFUND,Francisco,Hernandez,RETAIL_27328,SPECIAL,14.0,COLLECTIONS 2,Physical,ECOMMERCE,IVR,ACTIVE,LPHYOHWEQDNGNKI,GPS002,GPS002,TN,USDCASH
17,TR00000000017,290-5309-F6151,2024-02-17,1567.62,TRANSFER,Donna,Davis,ECOMMERCE_72281,DISCOUNT,25.0,COLLECTIONS 1,Virtual,RETAIL,FRAUD,SUSPENDED,0EFF4S95VGKYAQG,GPS003,GPS001,NM,VENDORBUCKS
18,TR00000000018,973-9283-Q5831,2024-05-12,4035.55,REBATE,Kevin,Brown,RETAIL_75258,SPECIAL,39.1,PAID,Physical,DELIVERY,IVR,SUSPENDED,H3MB102O4XTYHPH,GPS002,GPS002,CO,USDCASH
19,TR00000000019,191-4187-T8526,2024-01-23,6149.5,REBATE,Jared,Johnson,ECOMMERCE_36802,PREMIUM,48.63,COLLECTIONS 1,Physical,DELIVERY,FRAUD,TERMINATED,SOXW5YYBZS4WQNO,GPS003,GPS003,GA,CRYPTO
20,TR00000000020,824-8767-C5770,2024-01-26,1242.82,REFUND,Mark,Kelly,DELIVERY_78916,NORMAL,18.91,PAID,Physical,BANK,FRAUD,SUSPENDED,TY3WWSQPAS97WBX,GPS005,GPS001,ME,USDCASH
21,TR00000000021,918-8521-B2841,2024-01-23,2826.96,TRANSFER,Vicki,Barry,BROKERAGE_62864,NORMAL,1.51,LEGAL,Physical,DELIVERY,ADMIN,TERMINATED,UDKVGICABAUVQSA,GPS002,GPS002,NJ,USDCASH
22,TR00000000022,721-1277-Q8689,2024-03-26,5048.59,DEPOSIT,Andre,Lopez,DELIVERY_56322,DISCOUNT,15.59,LEGAL,Physical,ECOMMERCE,SYSTEM,TERMINATED,WQRWLHVGMMRAK69,GPS004,GPS003,AK,CRYPTO
