,RecordID,First Name,Last Name,Sex,Age,Occupation,Country of Birth,Education,Salary,Email,Years of Experience,Avg Salary for Occupation,State,Satisfaction Score,Work Location
0,1,Gregory,Hudson,Male,35,Plumber,Seychelles,BA/BS,134384,gregory@yahoo.com,6,137840,Ohio,9,Hybrid
1,2,Kerri,White,Female,41,Biotechnologist,Pitcairn Islands,HS,46136,kerri@lycos.net,17,194490,Wisconsin,8,On Site
2,3,Curtis,White,Male,29,Environmental Engineer,Tunisia,HS,59564,curtis@gmail.com,2,177750,Nevada,6,Hybrid
3,4,Kayla,Lambert,Female,36,Biomedical Scientist,Swaziland,Masters,179322,kayla@msn.com,6,199410,South Carolina,9,Hybrid
4,5,Diana,Williams,Female,41,Physician,Dominican Republic,Masters,163410,diana@msn.com,16,171934,Alaska,3,Hybrid
5,6,Leslie,Hernandez,Female,32,Electrician,Maldives,BA/BS,84984,leslie@fios.net,9,74947,California,9,On Site
6,7,Rebecca,Payne,Female,39,Environmental Scientist,Hong Kong,Doctorate,346377,rebecca@yahoo.com,7,73797,Illinois,5,Hybrid
7,8,Chase,Watkins,Male,37,Web Designer,Portugal,Masters,173925,chase@comcast.net,8,77752,Alabama,1,Remote
8,9,Elijah,Williams,Male,59,Software Developer,Iceland,Masters,169619,elijah@msn.com,18,38345,Oregon,8,Remote
9,10,Angela,Clark,Female,65,Radiologic Technologist,United Arab Emirates,GED,43767,angela@gmail.com,24,64619,California,1,Hybrid
10,11,Tanya,Moore,Female,61,UX Designer,Eritrea,Graduate,156111,tanya@fios.net,21,83670,Minnesota,2,Hybrid
11,12,Michael,Hardy,Male,55,Web Designer,Cote d'Ivoire,HS,47943,michael@fios.net,25,83433,Florida,4,On Site
12,13,April,Anderson,Female,36,Biomedical Scientist,Angola,HS,64771,april@yahoo.com,9,216832,California,5,Remote
13,14,Stephanie,Alexander,Female,25,Mechanical Engineer,Antarctica (the territory South of 60 deg S),GED,39784,stephanie@microsoft.net,0,49313,Pennsylvania,8,Hybrid
14,15,Michael,Neal,Male,46,Veterinarian,Nepal,HS,59389,michael@comcast.net,16,134877,Washington,9,Remote
15,16,Lisa,Daniel,Female,50,Pharmacy Technician,Estonia,Masters,184929,lisa@yahoo.com,13,45055,Idaho,7,On Site
16,17,Carlos,Adams,Male,36,Social Worker,Palau,GED,50531,carlos@gmail.com,8,52818,New Hampshire,4,Remote
17,18,Madison,Herrera,Female,52,Electrician,Liberia,Doctorate,356924,madison@lycos.net,18,62952,Alaska,3,On Site
18,19,Lisa,Livingston,Female,25,Pharmacist,Finland,Doctorate,311472,lisa@microsoft.net,2,69605,New Jersey,4,Remote
19,20,Suzanne,Buchanan,Female,39,Environmental Scientist,Madagascar,Masters,163474,suzanne@lycos.net,9,131716,Wyoming,9,Hybrid
20,21,Vickie,Ortega,Female,57,Dental Hygienist,Greenland,Masters,171220,vickie@msn.com,19,167706,New Mexico,7,Remote
21,22,Kathleen,Weaver,Female,50,Nurse,Jamaica,Graduate,160611,kathleen@myspace.com,18,139630,South Carolina,4,Hybrid
22,23,Anthony,Johnson,Male,64,Aerospace Engineer,Fiji,Doctorate,315610,anthony@lycos.net,21,52483,Colorado,7,Remote
23,24,Fred,Torres,Male,32,Graphic Designer,Cyprus,GED,50635,fred@myspace.com,8,179736,Wisconsin,1,On Site
24,25,Cody,Kelley,Male,44,Registered Nurse,Saint Barthelemy,BA/BS,87786,cody@gmail.com,10,52487,Kentucky,5,Remote
25,26,John,Berry,Male,39,UX Designer,Bahamas,GED,54518,john@comcast.net,10,108305,Arkansas,7,Remote
26,27,Nicole,Paul,Female,35,Civil Engineer,Paraguay,Graduate,160841,nicole@gmail.com,8,55614,Arizona,3,On Site
27,28,Jesse,Smith,Male,39,Marketing Manager,Egypt,HS,58387,jesse@msn.com,7,71725,Delaware,1,Hybrid
28,29,Charles,Lucas,Male,42,Occupational Therapist,Jordan,Masters,161450,charles@comcast.net,14,42463,Nevada,7,Remote
29,30,Ashley,Rosario,Female,36,Physical Education Teacher,Bulgaria,HS,53486,ashley@fios.net,6,108833,Tennessee,9,Remote
30,31,Andrea,Carlson,Female,61,Data Analyst,Saint Lucia,Doctorate,339343,andrea@fios.net,23,60767,Wisconsin,2,Remote
31,32,Nicholas,Wilson,Male,59,Software Developer,Cuba,BA/BS,113504,nicholas@fios.net,23,134783,Wisconsin,4,Hybrid
32,33,Ellen,Rodriguez,Female,55,Construction Worker,India,Masters,160784,ellen@gmail.com,24,212563,Oregon,1,Hybrid
33,34,Kelly,Barrera,Female,51,UX Designer,American Samoa,GED,49097,kelly@gmail.com,22,40788,Massachusetts,7,Hybrid
34,35,Anthony,Russo,Male,64,Chef,Nicaragua,GED,44343,anthony@myspace.com,18,189135,North Dakota,6,Hybrid
35,36,Tracy,Perry,Female,45,Financial Analyst,Mali,GED,53521,tracy@fios.net,17,105600,Illinois,10,Remote
36,37,Julia,Griffin,Female,31,Software Developer,North Macedonia,Masters,178598,julia@myspace.com,6,155493,West Virginia,2,Hybrid
37,38,Evan,Anderson,Male,38,Speech-Language Pathologist,Niue,Doctorate,286913,evan@fios.net,8,100648,Texas,7,Remote
38,39,Shannon,Bolton,Female,31,Electrician,Costa Rica,BA/BS,74400,shannon@msn.com,6,219298,Ohio,5,Hybrid
39,40,Kevin,Park,Male,51,Marketing Analyst,Botswana,Masters,162312,kevin@lycos.net,21,86833,North Carolina,10,Remote
40,41,Mary,Maynard,Female,46,Physical Therapist Assistant,Northern Mariana Islands,BA/BS,128179,mary@gmail.com,13,111098,Connecticut,3,On Site
41,42,Lisa,Pratt,Female,51,Game Developer,Albania,Graduate,128824,lisa@fios.net,20,82133,California,1,Remote
42,43,James,Hurst,Male,34,Construction Worker,Netherlands,GED,48277,james@lycos.net,8,155564,New York,1,Remote
43,44,Brad,Harris,Male,51,Marketing Analyst,India,Masters,165779,brad@gmail.com,22,177559,Washington,5,Remote
44,45,Melissa,Moore,Female,23,IT Manager,Puerto Rico,Graduate,126724,melissa@microsoft.net,3,118404,Nebraska,9,Remote
45,46,Joyce,Johnson,Female,25,Journalist,Portugal,HS,57310,joyce@fios.net,0,167029,Arkansas,1,On Site
46,47,Mallory,Davis,Female,40,Plumber,New Zealand,Masters,167093,mallory@myspace.com,6,84008,Rhode Island,7,Hybrid
47,48,Jody,Rivera,Female,46,Web Designer,Netherlands,GED,47311,jody@msn.com,18,133647,Arizona,4,Remote
48,49,Ashley,Walker,Female,27,Lawyer,Saint Martin,HS,48524,ashley@microsoft.net,5,172935,Florida,9,On Site
49,50,James,Decker,Male,43,Electrician,Somalia,HS,57961,james@microsoft.net,10,160569,Utah,3,On Site
50,51,Elizabeth,Johnson,Female,43,Physician,British Virgin Islands,Doctorate,240286,elizabeth@microsoft.net,10,85976,Maryland,5,On Site
51,52,Cynthia,Phillips,Female,54,UX Designer,Saudi Arabia,GED,49458,cynthia@lycos.net,24,48872,South Dakota,10,On Site
52,53,Victoria,Smith,Female,48,Social Media Manager,Tunisia,Doctorate,293230,victoria@gmail.com,17,195914,California,9,Hybrid
53,54,Daniel,Franco,Male,24,Marketing Manager,Pitcairn Islands,Masters,177790,daniel@yahoo.com,3,42637,Wisconsin,4,On Site
54,55,Phillip,Barnett,Male,37,Biomedical Engineer,Egypt,Doctorate,181067,phillip@msn.com,10,160650,Florida,8,Hybrid
55,56,Raymond,Bush,Male,54,Accountant,Sudan,Doctorate,370509,raymond@myspace.com,25,96753,New York,2,Remote
56,57,Julie,Cummings,Female,40,Economist,Uzbekistan,GED,50798,julie@gmail.com,10,41151,New Hampshire,6,Hybrid
57,58,Sabrina,Thompson,Female,31,Pediatrician,Turkmenistan,HS,58078,sabrina@yahoo.com,6,207075,Nebraska,6,On Site
58,59,Colleen,Thompson,Female,35,Speech-Language Pathologist,Sudan,BA/BS,95569,colleen@microsoft.net,6,211774,West Virginia,5,Remote
59,60,Amy,Smith,Female,42,Software Developer,Iceland,BA/BS,88872,amy@fios.net,15,157736,Maine,10,Hybrid
60,61,Annette,Rivers,Female,27,Environmental Scientist,Uzbekistan,Doctorate,268966,annette@microsoft.net,2,162026,Iowa,6,On Site
61,62,Jason,Freeman,Male,22,Architect,Faroe Islands,Graduate,135845,jason@lycos.net,5,56248,New Mexico,3,Hybrid
62,63,Gregory,Mack,Male,62,Aerospace Engineer,Cocos (Keeling) Islands,HS,45018,gregory@gmail.com,18,184534,Texas,9,Remote
63,64,Derek,Clark,Male,61,Pharmacist,Iceland,Doctorate,251100,derek@lycos.net,19,170505,Montana,1,Hybrid
64,65,Richard,Clark,Male,54,UX Designer,Israel,Masters,181566,richard@yahoo.com,22,85478,Wyoming,2,Remote
65,66,Ann,Parrish,Female,32,Biotechnologist,Ecuador,BA/BS,96121,ann@fios.net,6,148904,West Virginia,10,Remote
66,67,Jessica,Anderson,Female,48,Environmental Engineer,Portugal,Doctorate,344530,jessica@yahoo.com,14,123620,South Carolina,8,Hybrid
67,68,Ryan,Murray,Male,63,Pharmacist,Paraguay,Graduate,175973,ryan@msn.com,24,70820,Illinois,3,Remote
68,69,Amber,Mcdaniel,Female,48,Marketing Coordinator,Myanmar,HS,60403,amber@comcast.net,17,136624,Pennsylvania,9,On Site
69,70,Kyle,Martin,Male,25,Environmental Scientist,Hungary,Doctorate,274032,kyle@gmail.com,3,140430,Arkansas,2,Remote
70,71,Mary,Davis,Female,42,Data Analyst,Cape Verde,Doctorate,330944,mary@myspace.com,17,36844,Arkansas,3,On Site
71,72,Michelle,Davis,Female,30,Physician,Jordan,Doctorate,204803,michelle@fios.net,3,217425,New Hampshire,7,On Site
72,73,Wesley,Guerrero,Male,29,Aerospace Engineer,Isle of Man,Graduate,151207,wesley@comcast.net,4,69542,Delaware,10,Hybrid
73,74,Tracey,Torres,Female,65,Chef,Liberia,Masters,182581,tracey@myspace.com,19,51801,Illinois,4,Remote
74,75,Laurie,Romero,Female,22,UX Designer,Costa Rica,Doctorate,302136,laurie@gmail.com,2,168623,Maine,7,On Site
75,76,Maria,Walker,Female,50,Aerospace Engineer,Solomon Islands,Graduate,175528,maria@gmail.com,15,32945,Ohio,2,On Site
76,77,Grant,Ellis,Male,39,Librarian,Belarus,Doctorate,207632,grant@gmail.com,6,30171,Idaho,3,Remote
77,78,Andrew,Snyder,Male,35,Biomedical Engineer,Morocco,GED,49467,andrew@msn.com,8,181170,Delaware,9,Hybrid
78,79,Michelle,Nguyen,Female,34,Social Worker,Slovakia (Slovak Republic),BA/BS,101760,michelle@microsoft.net,10,199561,South Carolina,7,On Site
79,80,Karen,Vaughn,Female,50,Police Officer,Dominican Republic,GED,44990,karen@lycos.net,15,181724,Kansas,8,Hybrid
80,81,Rodney,Lopez,Male,49,Web Designer,New Caledonia,Masters,181209,rodney@yahoo.com,11,78936,California,9,On Site
81,82,Jason,Turner,Male,30,HR Specialist,Armenia,Masters,172878,jason@fios.net,3,73052,Rhode Island,7,Remote
82,83,Heather,Underwood,Female,32,Electrician,Eritrea,BA/BS,91105,heather@comcast.net,8,73653,Minnesota,4,Hybrid
83,84,Lauren,Payne,Female,35,Physical Therapist Assistant,Sri Lanka,Graduate,176492,lauren@msn.com,6,55912,California,9,Hybrid
84,85,Joe,Escobar,Male,46,Plumber,Liechtenstein,HS,58636,joe@comcast.net,13,67654,Oklahoma,10,Hybrid
85,86,Sandra,Gomez,Female,27,Social Worker,Svalbard & Jan Mayen Islands,GED,41784,sandra@myspace.com,2,31712,Indiana,8,On Site
86,87,Amy,Leon,Female,47,Professor,Morocco,Doctorate,217800,amy@fios.net,14,146653,West Virginia,4,Remote
87,88,Andrea,Bonilla,Female,57,Environmental Engineer,Nicaragua,Graduate,148719,andrea@myspace.com,18,34010,Massachusetts,3,Remote
88,89,David,Davis,Male,28,Financial Analyst,Argentina,BA/BS,75635,david@gmail.com,0,192367,Massachusetts,6,Remote
89,90,Alexander,Calderon,Male,65,Registered Nurse,Venezuela,HS,62147,alexander@myspace.com,25,107896,Florida,5,On Site
90,91,Robert,Chung,Male,38,Investment Banker,Gambia,HS,62425,robert@lycos.net,8,55445,North Carolina,3,Remote
91,92,Kristina,Thompson,Female,25,Human Resources Manager,Belgium,Masters,179555,kristina@msn.com,0,69574,Utah,7,Remote
92,93,John,Martin,Male,54,Software Developer,Grenada,Masters,171423,john@gmail.com,20,209216,California,3,Remote
93,94,Anthony,Kent,Male,62,Pediatrician,Cuba,GED,36795,anthony@microsoft.net,20,52431,Oregon,10,Hybrid
94,95,Morgan,Coleman,Female,57,Librarian,United States Minor Outlying Islands,Doctorate,318402,morgan@myspace.com,24,100011,South Dakota,10,Remote
95,96,Jacob,Livingston,Male,55,Speech-Language Pathologist,Brazil,Graduate,180208,jacob@yahoo.com,23,178821,Georgia,9,Hybrid
96,97,Kevin,Daniels,Male,34,Graphic Designer,Nauru,Doctorate,348688,kevin@microsoft.net,9,137732,Rhode Island,1,Remote
97,98,Robert,Bell,Male,25,Social Worker,Slovenia,GED,45534,robert@myspace.com,5,158100,California,9,Hybrid
98,99,Michael,Jones,Male,52,Psychologist,Djibouti,HS,50799,michael@comcast.net,20,179406,New Mexico,8,Hybrid
99,100,Scott,Smith,Male,58,Environmental Engineer,Niger,Graduate,158179,scott@myspace.com,23,137515,Delaware,7,On Site
100,101,Dennis,Gilmore,Male,26,Financial Advisor,Gibraltar,Masters,173417,dennis@lycos.net,5,134651,Arkansas,6,Hybrid
101,102,Justin,Clark,Male,22,HR Specialist,Guyana,HS,53439,justin@gmail.com,3,200020,Wisconsin,1,On Site
102,103,David,Romero,Male,64,Aerospace Engineer,Zambia,Doctorate,286763,david@lycos.net,23,146576,Washington,3,Hybrid
103,104,Colin,Johnston,Male,30,Social Worker,Ethiopia,HS,52178,colin@myspace.com,2,205789,Maryland,8,Hybrid
104,105,Linda,Lowe,Female,49,HR Specialist,Honduras,Graduate,149682,linda@microsoft.net,13,49087,North Carolina,6,Remote
105,106,James,Wallace,Male,33,Financial Analyst,Bangladesh,Doctorate,304126,james@comcast.net,10,186164,Nevada,1,Hybrid
106,107,Kevin,Morrison,Male,46,Physical Education Teacher,Nigeria,Doctorate,270826,kevin@lycos.net,15,41127,Mississippi,7,Hybrid
107,108,Leslie,Cuevas,Female,25,Social Media Manager,Maldives,GED,36666,leslie@comcast.net,5,64146,Wyoming,7,Remote
108,109,James,Stevens,Male,42,Plumber,Hong Kong,HS,61892,james@microsoft.net,15,141647,Texas,8,On Site
109,110,Briana,Cooper,Female,25,IT Manager,Fiji,Graduate,135214,briana@msn.com,3,166112,Nevada,2,Hybrid
110,111,Pamela,Hayes,Female,33,Financial Planner,Wallis and Futuna,Graduate,135456,pamela@gmail.com,8,157987,Maine,5,Hybrid
111,112,Eric,Gamble,Male,35,HR Specialist,Yemen,GED,45275,eric@fios.net,7,59603,Kansas,10,Hybrid
112,113,Daniel,Vang,Male,32,Architect,Korea,Graduate,150568,daniel@gmail.com,8,162934,Montana,4,Hybrid
113,114,Jeffrey,Tate,Male,27,Psychologist,Czech Republic,HS,50470,jeffrey@microsoft.net,0,44142,Arizona,8,Hybrid
114,115,Amanda,Garcia,Female,38,Electrician,Belize,Doctorate,262474,amanda@yahoo.com,9,87824,Louisiana,1,On Site
115,116,Jesse,Lucero,Male,65,Biomedical Scientist,Tajikistan,Graduate,160359,jesse@microsoft.net,25,108445,Oregon,1,Hybrid
116,117,Robert,Wheeler,Male,26,Graphic Designer,Solomon Islands,Graduate,157554,robert@comcast.net,4,142802,Nebraska,8,Remote
117,118,Jermaine,White,Male,58,Architect,Armenia,Masters,175532,jermaine@comcast.net,20,172046,Pennsylvania,5,Remote
118,119,Megan,Kelly,Female,52,Social Worker,Fiji,Doctorate,322190,megan@msn.com,19,155262,Mississippi,4,On Site
119,120,Amanda,Rodriguez,Female,29,Aerospace Engineer,Togo,Masters,168946,amanda@myspace.com,4,98377,Virginia,7,On Site
120,121,Randall,Williams,Male,63,Dental Assistant,United Arab Emirates,Doctorate,276403,randall@fios.net,22,80278,South Carolina,2,On Site
121,122,Juan,Schwartz,Male,29,Dental Assistant,Nauru,GED,36743,juan@fios.net,0,205087,South Dakota,2,Remote
122,123,Anita,Peterson,Female,32,Sales Manager,Liechtenstein,Doctorate,345530,anita@microsoft.net,9,219190,Indiana,1,On Site
123,124,Michael,Schmidt,Male,48,Firefighter,India,Doctorate,238044,michael@myspace.com,17,182763,Idaho,7,Remote
124,125,Marilyn,Hooper,Female,32,Event Planner,Falkland Islands (Malvinas),BA/BS,104731,marilyn@fios.net,7,36089,Alabama,2,Hybrid
125,126,Robert,Romero,Male,55,Plumber,Bulgaria,Masters,179006,robert@microsoft.net,22,69043,Missouri,10,Hybrid
126,127,Lori,Stein,Female,22,Librarian,Chad,Masters,177124,lori@yahoo.com,5,136414,Maine,7,Remote
127,128,Megan,Hawkins,Female,60,Civil Engineer,Monaco,Doctorate,370677,megan@lycos.net,21,162533,Nevada,7,On Site
128,129,Nicholas,Collins,Male,29,Economist,Greenland,Masters,164311,nicholas@msn.com,5,78835,Kentucky,5,On Site
129,130,Lori,Henry,Female,32,Librarian,North Macedonia,BA/BS,119788,lori@microsoft.net,7,172351,Virginia,7,Remote
130,131,Anthony,Lucero,Male,23,Financial Advisor,Equatorial Guinea,Graduate,162538,anthony@gmail.com,4,191541,New York,3,Hybrid
131,132,Marvin,Stout,Male,25,Human Resources Manager,Czech Republic,Masters,179655,marvin@gmail.com,0,112001,Rhode Island,1,Remote
132,133,Brandon,Phillips,Male,55,Mechanical Engineer,Nigeria,GED,37561,brandon@comcast.net,20,102832,Montana,9,Hybrid
133,134,Danny,Norman,Male,59,Speech-Language Pathologist,Malawi,Graduate,162493,danny@gmail.com,18,189721,Maryland,3,Hybrid
134,135,Sergio,Hughes,Male,61,Sales Manager,Portugal,Masters,168671,sergio@lycos.net,19,178970,Delaware,3,On Site
135,136,Andrew,Williams,Male,24,Pharmacy Technician,British Indian Ocean Territory (Chagos Archipelago),Graduate,184860,andrew@msn.com,5,165698,New Jersey,4,On Site
136,137,Richard,Jones,Male,47,Radiologic Technologist,Cape Verde,Graduate,182894,richard@yahoo.com,18,83899,California,10,On Site
137,138,Danielle,Baldwin,Female,56,Game Developer,Korea,GED,53382,danielle@fios.net,18,86118,Rhode Island,3,Remote
138,139,Heather,Hernandez,Female,60,Social Worker,Saudi Arabia,Masters,164463,heather@yahoo.com,24,75897,California,7,On Site
139,140,Connie,Henderson,Female,24,Speech-Language Pathologist,Samoa,GED,39929,connie@comcast.net,5,159867,Rhode Island,6,Remote
140,141,Melissa,Anderson,Female,56,Librarian,Andorra,Doctorate,221351,melissa@msn.com,23,81899,Alaska,7,Remote
141,142,Marc,Giles,Male,26,Marketing Analyst,Zimbabwe,Masters,171273,marc@myspace.com,5,47136,West Virginia,6,Hybrid
142,143,Rachel,Tate,Female,52,Aerospace Engineer,Cayman Islands,HS,61144,rachel@comcast.net,25,101057,Kentucky,3,On Site
143,144,Kara,Mathis,Female,57,Construction Worker,Latvia,HS,55206,kara@comcast.net,21,69065,Arizona,4,On Site
144,145,Sandy,Young,Female,65,Biomedical Scientist,Gibraltar,HS,50953,sandy@msn.com,23,84470,South Carolina,8,Remote
145,146,Anthony,Brown,Male,47,UX Designer,Bhutan,Doctorate,182333,anthony@microsoft.net,10,41239,Florida,3,On Site
146,147,Bill,Jenkins,Male,64,HR Specialist,Turkey,Doctorate,274134,bill@yahoo.com,21,188380,Florida,1,Hybrid
147,148,Wendy,Miller,Female,53,Registered Nurse,Cuba,HS,53323,wendy@comcast.net,18,56310,Rhode Island,2,On Site
148,149,Gavin,Hernandez,Male,42,Graphic Designer,Saint Kitts and Nevis,Masters,181923,gavin@gmail.com,14,43911,Florida,8,Hybrid
149,150,Dylan,Marshall,Male,22,Environmental Scientist,Tajikistan,Masters,174732,dylan@gmail.com,0,120064,New York,3,Remote
150,151,James,Joseph,Male,54,Social Media Manager,France,BA/BS,101411,james@lycos.net,23,175251,Alaska,4,Remote
151,152,Elizabeth,Collins,Female,23,Journalist,Rwanda,BA/BS,89641,elizabeth@microsoft.net,4,68920,Florida,6,Hybrid
152,153,Timothy,Reynolds,Male,55,Sales Manager,New Caledonia,Doctorate,367301,timothy@comcast.net,20,149522,Vermont,10,On Site
153,154,Valerie,Baker,Female,57,Biomedical Engineer,Greenland,Graduate,144155,valerie@myspace.com,23,77423,North Carolina,2,Hybrid
154,155,Paula,Wilson,Female,62,Artist,Honduras,BA/BS,128717,paula@comcast.net,20,57646,Indiana,5,Remote
155,156,David,Waller,Male,54,Social Media Manager,Vanuatu,Graduate,141296,david@msn.com,22,95220,Iowa,2,On Site
156,157,Kathryn,Wise,Female,22,Professor,Algeria,BA/BS,106104,kathryn@myspace.com,2,146553,Michigan,7,Remote
157,158,Joshua,Hernandez,Male,26,Construction Worker,Vietnam,Masters,169088,joshua@fios.net,0,132879,Alaska,3,Hybrid
158,159,William,Gill,Male,49,Pediatrician,Mauritania,GED,50782,william@comcast.net,15,58017,Massachusetts,2,On Site
159,160,Peter,Johnson,Male,42,Software Developer,Brazil,BA/BS,124343,peter@comcast.net,18,133246,Alaska,1,Hybrid
160,161,Kelli,Heath,Female,57,Firefighter,South Africa,BA/BS,121686,kelli@gmail.com,23,47419,Ohio,4,On Site
161,162,Jason,Ward,Male,22,IT Manager,Botswana,BA/BS,141212,jason@lycos.net,2,151975,Mississippi,9,Remote
162,163,Heather,Anderson,Female,37,Architect,Trinidad and Tobago,Graduate,133327,heather@lycos.net,6,166324,Maryland,5,On Site
163,164,William,Washington,Male,48,Accountant,Burkina Faso,HS,55371,william@microsoft.net,16,196151,South Carolina,3,Hybrid
164,165,Melissa,Nelson,Female,55,Aerospace Engineer,Albania,BA/BS,115369,melissa@fios.net,25,88439,Indiana,7,On Site
165,166,Troy,Simmons,Male,37,Lawyer,Vietnam,Graduate,166817,troy@yahoo.com,10,176533,California,7,On Site
166,167,Anthony,Perez,Male,27,HR Specialist,Guernsey,BA/BS,66264,anthony@microsoft.net,0,122252,New Mexico,6,On Site
167,168,Lisa,Lynch,Female,46,Radiologic Technologist,Mali,Doctorate,236148,lisa@microsoft.net,14,105470,Louisiana,2,Hybrid
168,169,Pamela,Sanford,Female,49,Firefighter,Somalia,HS,58223,pamela@fios.net,18,115639,Vermont,2,Hybrid
169,170,Harry,Holden,Male,65,Environmental Scientist,Turkey,Doctorate,333788,harry@microsoft.net,18,118480,New Mexico,9,Hybrid
